Code,Description,Project
310.0,,BR2
311.0,,BR2
312.0,,BR2
313.0,,BR2
314.0,,BR2
315.0,,BR2
316.0,,BR2
317.0,,BR2
318.0,,BR2
319.0,,BR2
320.0,,BR2
321.0,,BR2
322.0,,BR2
323.0,,BR2
324.0,,BR2
325.0,,BR2
326.0,,BR2
327.0,,BR2
328.0,,BR2
329.0,,BR2
330.0,,BR2
331.0,,BR2
332.0,,BR2
333.0,,BR2
334.0,,BR2
335.0,,BR2
336.0,,BR2
337.0,,BR2
338.0,,BR2
339.0,,BR2
340.0,,BR2
341.0,,BR2
342.0,,BR2
343.0,,BR2
344.0,,BR2
345.0,,BR2
346.0,,BR2
347.0,,BR2
348.0,,BR2
349.0,,BR2
350.0,,BR2
351.0,,BR2
352.0,,BR2
353.0,,BR2
354.0,,BR2
355.0,,BR2
356.0,,BR2
357.0,,BR2
358.0,,BR2
359.0,,BR2
360.0,,BR2
361.0,,BR2
362.0,,BR2
363.0,,BR2
364.0,,BR2
365.0,,BR2
366.0,,BR2
367.0,,BR2
368.0,,BR2
369.0,,BR2
370.0,,BR2
371.0,,BR2
372.0,,BR2
373.0,,BR2
374.0,,BR2
375.0,,BR2
376.0,,BR2
377.0,,BR2
378.0,,BR2
379.0,,BR2
380.0,,BR2
381.0,,BR2
382.0,,BR2
383.0,,BR2
384.0,,BR2
385.0,,BR2
386.0,,BR2
387.0,,BR2
388.0,,BR2
389.0,,BR2
390.0,,BR2
391.0,,BR2
392.0,,BR2
393.0,,BR2
394.0,,BR2
395.0,,BR2
396.0,,BR2
397.0,,BR2
398.0,,BR2
399.0,,BR2
400.0,,BR2
401.0,,BR2
402.0,,BR2
403.0,,BR2
404.0,,BR2
405.0,,BR2
406.0,,BR2
407.0,,BR2
408.0,,BR2
409.0,,BR2
410.0,,BR2
411.0,,BR2
412.0,,BR2
413.0,,BR2
414.0,,BR2
415.0,,BR2
416.0,,BR2
417.0,,BR2
418.0,,BR2
419.0,,BR2
420.0,,BR2
421.0,,BR2
422.0,,BR2
423.0,,BR2
424.0,,BR2
425.0,,BR2
426.0,,BR2
427.0,,BR2
428.0,,BR2
429.0,,BR2
430.0,,BR2
431.0,,BR2
432.0,,BR2
433.0,,BR2
434.0,,BR2
435.0,,BR2
436.0,,BR2
437.0,,BR2
438.0,,BR2
439.0,,BR2
440.0,,BR2
441.0,,BR2
442.0,,BR2
443.0,,BR2
444.0,,BR2
445.0,,BR2
446.0,,BR2
447.0,,BR2
448.0,,BR2
449.0,,BR2
450.0,,BR2
451.0,,BR2
452.0,,BR2
453.0,,BR2
454.0,,BR2
455.0,,BR2
456.0,,BR2
457.0,,BR2
458.0,,BR2
459.0,,BR2
460.0,,BR2
461.0,,BR2
462.0,,BR2
463.0,,BR2
464.0,,BR2
465.0,,BR2
466.0,,BR2
467.0,,BR2
468.0,,BR2
469.0,,BR2
470.0,,BR2
471.0,,BR2
472.0,,BR2
473.0,,BR2
474.0,,BR2
475.0,,BR2
476.0,,BR2
477.0,,BR2
478.0,,BR2
479.0,,BR2
480.0,,BR2
481.0,,BR2
482.0,,BR2
483.0,,BR2
484.0,,BR2
485.0,,BR2
486.0,,BR2
487.0,,BR2
488.0,,BR2
489.0,,BR2
490.0,,BR2
491.0,,BR2
492.0,,BR2
493.0,,BR2
494.0,,BR2
495.0,,BR2
496.0,,BR2
497.0,,BR2
498.0,,BR2
499.0,,BR2
500.0,,BR2
501.0,,BR2
502.0,,BR2
503.0,,BR2
504.0,,BR2
505.0,,BR2
506.0,,BR2
507.0,,BR2
508.0,,BR2
509.0,,BR2
510.0,,BR2
511.0,,BR2
512.0,,BR2
513.0,,BR2
514.0,,BR2
515.0,,BR2
516.0,,BR2
517.0,,BR2
518.0,,BR2
519.0,,BR2
520.0,,BR2
521.0,,BR2
522.0,,BR2
523.0,,BR2
524.0,,BR2
525.0,,BR2
526.0,,BR2
527.0,,BR2
528.0,,BR2
529.0,,BR2
530.0,,BR2
531.0,,BR2
532.0,,BR2
533.0,,BR2
534.0,,BR2
535.0,,BR2
536.0,,BR2
537.0,,BR2
538.0,,BR2
539.0,,BR2
540.0,,BR2
541.0,,BR2
542.0,,BR2
543.0,,BR2
544.0,,BR2
545.0,,BR2
546.0,,BR2
547.0,,BR2
548.0,,BR2
549.0,,BR2
550.0,,BR2
551.0,,BR2
552.0,,BR2
553.0,,BR2
554.0,,BR2
555.0,,BR2
556.0,,BR2
557.0,,BR2
558.0,,BR2
559.0,,BR2
560.0,,BR2
561.0,,BR2
562.0,,BR2
563.0,,BR2
564.0,,BR2
565.0,,BR2
566.0,,BR2
567.0,,BR2
568.0,,BR2
569.0,,BR2
570.0,,BR2
571.0,,BR2
572.0,,BR2
573.0,,BR2
574.0,,BR2
575.0,,BR2
576.0,,BR2
577.0,,BR2
578.0,,BR2
579.0,,BR2
580.0,,BR2
581.0,,BR2
582.0,,BR2
583.0,,BR2
584.0,,BR2
585.0,,BR2
586.0,,BR2
587.0,,BR2
588.0,,BR2
589.0,,BR2
590.0,,BR2
591.0,,BR2
592.0,,BR2
593.0,,BR2
594.0,,BR2
595.0,,BR2
596.0,,BR2
597.0,,BR2
598.0,,BR2
599.0,,BR2
600.0,,BR2
601.0,,BR2
602.0,,BR2
603.0,,BR2
604.0,,BR2
605.0,,BR2
606.0,,BR2
607.0,,BR2
608.0,,BR2
609.0,,BR2
610.0,,BR2
611.0,,BR2
612.0,,BR2
613.0,,BR2
614.0,,BR2
615.0,,BR2
616.0,,BR2
617.0,,BR2
618.0,,BR2
619.0,,BR2
620.0,,BR2
621.0,,BR2
622.0,,BR2
623.0,,BR2
624.0,,BR2
625.0,,BR2
626.0,,BR2
627.0,,BR2
628.0,,BR2
629.0,,BR2
630.0,,BR2
631.0,,BR2
632.0,,BR2
633.0,,BR2
634.0,,BR2
635.0,,BR2
636.0,,BR2
637.0,,BR2
638.0,,BR2
639.0,,BR2
640.0,,BR2
641.0,,BR2
642.0,,BR2
643.0,,BR2
644.0,,BR2
645.0,,BR2
646.0,,BR2
647.0,,BR2
648.0,,BR2
649.0,,BR2
650.0,,BR2
651.0,,BR2
652.0,,BR2
653.0,,BR2
654.0,,BR2
655.0,,BR2
656.0,,BR2
657.0,,BR2
658.0,,BR2
659.0,,BR2
660.0,,BR2
661.0,,BR2
662.0,,BR2
663.0,,BR2
664.0,,BR2
665.0,,BR2
666.0,,BR2
667.0,,BR2
668.0,,BR2
669.0,,BR2
670.0,,BR2
671.0,,BR2
672.0,,BR2
673.0,,BR2
674.0,,BR2
675.0,,BR2
676.0,,BR2
677.0,,BR2
678.0,,BR2
679.0,,BR2
680.0,,BR2
681.0,,BR2
682.0,,BR2
683.0,,BR2
684.0,,BR2
685.0,,BR2
686.0,,BR2
687.0,,BR2
688.0,,BR2
689.0,,BR2
690.0,,BR2
691.0,,BR2
692.0,,BR2
693.0,,BR2
694.0,,BR2
695.0,,BR2
696.0,,BR2
697.0,,BR2
698.0,,BR2
699.0,,BR2
700.0,,BR2
701.0,,BR2
702.0,,BR2
703.0,,BR2
704.0,,BR2
705.0,,BR2
706.0,,BR2
707.0,,BR2
708.0,,BR2
709.0,,BR2
710.0,,BR2
711.0,,BR2
712.0,,BR2
713.0,,BR2
714.0,,BR2
715.0,,BR2
716.0,,BR2
717.0,,BR2
718.0,,BR2
719.0,,BR2
720.0,,BR2
721.0,,BR2
722.0,,BR2
723.0,,BR2
724.0,,BR2
725.0,,BR2
726.0,,BR2
727.0,,BR2
728.0,,BR2
729.0,,BR2
730.0,,BR2
731.0,,BR2
732.0,,BR2
733.0,,BR2
734.0,,BR2
735.0,,BR2
736.0,,BR2
737.0,,BR2
738.0,,BR2
739.0,,BR2
740.0,,BR2
741.0,,BR2
742.0,,BR2
743.0,,BR2
744.0,,BR2
745.0,,BR2
746.0,,BR2
747.0,,BR2
748.0,,BR2
749.0,,BR2
750.0,,BR2
751.0,,BR2
752.0,,BR2
753.0,,BR2
754.0,,BR2
755.0,,BR2
756.0,,BR2
757.0,,BR2
758.0,,BR2
759.0,,BR2
760.0,,BR2
761.0,,BR2
762.0,,BR2
763.0,,BR2
764.0,,BR2
765.0,,BR2
766.0,,BR2
767.0,,BR2
768.0,,BR2
769.0,,BR2
770.0,,BR2
771.0,,BR2
772.0,,BR2
773.0,,BR2
774.0,,BR2
775.0,,BR2
776.0,,BR2
777.0,,BR2
778.0,,BR2
779.0,,BR2
780.0,,BR2
781.0,,BR2
782.0,,BR2
783.0,,BR2
784.0,,BR2
785.0,,BR2
786.0,,BR2
787.0,,BR2
788.0,,BR2
789.0,,BR2
790.0,,BR2
791.0,,BR2
792.0,,BR2
793.0,,BR2
794.0,,BR2
795.0,,BR2
796.0,,BR2
797.0,,BR2
798.0,,BR2
799.0,,BR2
800.0,,BR2
801.0,,BR2
802.0,,BR2
803.0,,BR2
804.0,,BR2
805.0,,BR2
806.0,,BR2
807.0,,BR2
808.0,,BR2
809.0,,BR2
810.0,,BR2
811.0,,BR2
812.0,,BR2
813.0,,BR2
814.0,,BR2
815.0,,BR2
816.0,,BR2
817.0,,BR2
818.0,,BR2
819.0,,BR2
820.0,,BR2
821.0,,BR2
822.0,,BR2
823.0,,BR2
824.0,,BR2
825.0,,BR2
826.0,,BR2
827.0,,BR2
828.0,,BR2
829.0,,BR2
830.0,,BR2
831.0,,BR2
832.0,,BR2
833.0,,BR2
834.0,,BR2
835.0,,BR2
836.0,,BR2
837.0,,BR2
838.0,,BR2
839.0,,BR2
840.0,,BR2
841.0,,BR2
842.0,,BR2
843.0,,BR2
844.0,,BR2
845.0,,BR2
846.0,,BR2
847.0,,BR2
848.0,,BR2
849.0,,BR2
850.0,,BR2
851.0,,BR2
852.0,,BR2
853.0,,BR2
854.0,,BR2
855.0,,BR2
856.0,,BR2
857.0,,BR2
858.0,,BR2
859.0,,BR2
860.0,,BR2
861.0,,BR2
862.0,,BR2
863.0,,BR2
864.0,,BR2
865.0,,BR2
866.0,,BR2
867.0,,BR2
868.0,,BR2
869.0,,BR2
870.0,,BR2
871.0,,BR2
872.0,,BR2
873.0,,BR2
874.0,,BR2
875.0,,BR2
876.0,,BR2
877.0,,BR2
878.0,,BR2
879.0,,BR2
880.0,,BR2
881.0,,BR2
882.0,,BR2
883.0,,BR2
884.0,,BR2
885.0,,BR2
886.0,,BR2
887.0,,BR2
888.0,,BR2
889.0,,BR2
890.0,,BR2
891.0,,BR2
892.0,,BR2
893.0,,BR2
894.0,,BR2
895.0,,BR2
896.0,,BR2
897.0,,BR2
898.0,,BR2
899.0,,BR2
900.0,,BR2
901.0,,BR2
902.0,,BR2
903.0,,BR2
904.0,,BR2
905.0,,BR2
906.0,,BR2
907.0,,BR2
908.0,,BR2
909.0,,BR2
910.0,,BR2
911.0,,BR2
912.0,,BR2
913.0,,BR2
914.0,,BR2
915.0,,BR2
916.0,,BR2
917.0,,BR2
918.0,,BR2
919.0,,BR2
920.0,,BR2
921.0,,BR2
922.0,,BR2
923.0,,BR2
924.0,,BR2
925.0,,BR2
926.0,,BR2
927.0,,BR2
928.0,,BR2
929.0,,BR2
930.0,,BR2
931.0,,BR2
932.0,,BR2
933.0,,BR2
934.0,,BR2
935.0,,BR2
936.0,,BR2
937.0,,BR2
938.0,,BR2
939.0,,BR2
940.0,,BR2
941.0,,BR2
942.0,,BR2
943.0,,BR2
944.0,,BR2
945.0,,BR2
946.0,,BR2
947.0,,BR2
948.0,,BR2
949.0,,BR2
950.0,,BR2
951.0,,BR2
952.0,,BR2
953.0,,BR2
954.0,,BR2
955.0,,BR2
956.0,,BR2
957.0,,BR2
958.0,,BR2
959.0,,BR2
960.0,,BR2
961.0,,BR2
962.0,,BR2
963.0,,BR2
964.0,,BR2
965.0,,BR2
966.0,,BR2
967.0,,BR2
968.0,,BR2
969.0,,BR2
970.0,,BR2
971.0,,BR2
972.0,,BR2
973.0,,BR2
974.0,,BR2
975.0,,BR2
976.0,,BR2
977.0,,BR2
978.0,,BR2
979.0,,BR2
980.0,,BR2
981.0,,BR2
982.0,,BR2
983.0,,BR2
984.0,,BR2
985.0,,BR2
986.0,,BR2
987.0,,BR2
988.0,,BR2
989.0,,BR2
990.0,,BR2
991.0,,BR2
992.0,,BR2
993.0,,BR2
994.0,,BR2
995.0,,BR2
996.0,,BR2
997.0,,BR2
998.0,,BR2
999.0,,BR2
1000.0,code 1000-unknown,BR2
1001.0,Program start PLC ,BR2
1002.0,No Errors ,BR2
1003.0,Manual Stop ,BR2
1006.0,System OK ,BR2
1007.0,Storm shutdown ,BR2
1008.0,Overvoltage ,BR2
1009.0,Undervoltage ,BR2
1010.0,Underfrequency ,BR2
1011.0,Overfrequency ,BR2
1013.0,"Asymmetric generator cur
rent (current imbalance)",BR2
1014.0,Generator overspeed ,BR2
1015.0,Rotor overspeed ,BR2
1016.0,Rotor Monitor Over Speed ,BR2
1018.0,Overproduction ,BR2
1019.0,Maximum motor power ,BR2
1020.0,Cable twisting right ,BR2
1021.0,Cable twisting left ,BR2
1022.0,"Yaw position at maximum
turns",BR2
1023.0,Time over power ,BR2
1024.0,"Primary pitch braking time
too long",BR2
1025.0,"Primary Pitch braking not
effective",BR2
1027.0,"Secondary hydraulic braking
time too long",BR2
1028.0,"Secondary hydraulic braking
not effective",BR2
1031.0,Fault yaw counter system ,BR2
1034.0,"Secondary hydraulic brake
not released",BR2
1035.0,Emergency stop downtower ,BR2
1036.0,"Holding speed exceeded with
brakes applied",BR2
1038.0,Secondary brake test ,BR2
1041.0,Tower vibration sensor failure ,BR2
1042.0,Yawing in wrong direction ,BR2
1045.0,"Hydraulic pump time too
long",BR2
1046.0,"Hydraulic pump time too
short",BR2
1047.0,"Service switch hydraulic top
cabinet",BR2
1048.0,Hydraulic oil level low ,BR2
1051.0,"Gearbox oil level too low to
operate(Alarm)",BR2
1052.0,Gearbox oil pressure too low ,BR2
1053.0,Wind vane failure ,BR2
1054.0,Anemometer failure ,BR2
1055.0,Rotor speed sensor failure ,BR2
1056.0,"Generator speed sensor
failure",BR2
1057.0,"Incorrect generator-rotor
speed ratio",BR2
1058.0,"Demand to stop by an exter
nal device",BR2
1059.0,"Tower Vibration from tower
acceleration monitor",BR2
1060.0,Yaw limit switch activated ,BR2
1063.0,Safety chain ,BR2
1065.0,Main switch released ,BR2
1071.0,Gearbox oil filter (alarm) ,BR2
1072.0,"Gearbox oil over temperature
from thermal switch",BR2
1075.0,"Generator bearing A over
temperature",BR2
1076.0,"Generator bearing B over
temperature",BR2
1077.0,Gearbox oil over temperature ,BR2
1078.0,Outside temperature too low ,BR2
1081.0,"Shaft bearing over tempera
ture",BR2
1082.0,Yaw motor over temperature ,BR2
1083.0,"Gearbox bearing B over
temperature",BR2
1084.0,"Gearbox oil temperature too
low",BR2
1086.0,Secondary brake pads worn ,BR2
1087.0,Restart time delay ,BR2
1089.0,"Dirty Gearbox oil filter (warn
ing)",BR2
1091.0,Gearbox warm up ,BR2
1094.0,Control call ,BR2
1097.0,"Generator cooling air over
temperature",BR2
1098.0,"Gearbox bearing A over
temperature",BR2
1099.0,"Generator stator over tem
perature winding 1",BR2
1100.0,"Generator stator over tem
perature winding 2",BR2
1101.0,"DTA/MCC Fuse or Motor
protection Alarm",BR2
1102.0,"Top Box Fuse or Motor pro
tection Alarm",BR2
1105.0,CU Rotor Side Volage fault ,BR2
1106.0,CU Rotor Side Current fault ,BR2
1107.0,"CU Rotor Side Temperature
fault",BR2
1108.0,Rotor lock engaged ,BR2
1110.0,"Speed in the tower reso
nance range",BR2
1112.0,CU Invalid response ,BR2
1113.0,CU Line Side Voltage fault ,BR2
1114.0,CU Line Side Current fault ,BR2
1115.0,"CU Line Side Temperature
fault",BR2
1116.0,Grid voltage fault ,BR2
1117.0,Grid frequency fault ,BR2
1118.0,"Emergency stop nacelle /
hub",BR2
1120.0,"Pitch controller communica
tions fault",BR2
1121.0,Axis 1 pitch controller fault ,BR2
1122.0,"Collective fault pitch control
ler",BR2
1124.0,Pitch Overrun 0deg ,BR2
1125.0,Pitch Overrun 90deg ,BR2
1127.0,SOT ,BR2
1129.0,"Generator speed not plausi
ble",BR2
1130.0,"Braking time rotor blade 1
too high",BR2
1131.0,"Braking time rotor blade 2
too high",BR2
1132.0,"Braking time rotor blade 3
too high",BR2
1133.0,Batteries Charging ,BR2
1134.0,"Battery charging voltage not
OK",BR2
1135.0,"Emergency Brake System
Test",BR2
1136.0,0 deg limit switch failure ,BR2
1137.0,90deg limit switch failure ,BR2
1138.0,"Pitch motor overtemperature
warning",BR2
1139.0,"Pitch motor overtemperature
alarm",BR2
1140.0,Motor protection pitch motor ,BR2
1141.0,CU Rotor Side Collective fault ,BR2
1142.0,CU Line Side Collective fault ,BR2
1143.0,Overspeed monitor failure ,BR2
1144.0,Blade angle asymmetry ,BR2
1145.0,Pitch control deviation axis 1 ,BR2
1146.0,Low wind speed cut out ,BR2
1147.0,Load shutdown ,BR2
1148.0,Generator fan service switch ,BR2
1149.0,Axis 2 pitch controller fault ,BR2
1150.0,Axis 3 pitch controller fault ,BR2
1152.0,Aviation light failure ,BR2
1153.0,Generator brushes worn ,BR2
1155.0,Maintenance ,BR2
1156.0,Repair ,BR2
1157.0,"Secondary rotor brake does
not close",BR2
1161.0,"Overvoltage protection fuse
fault",BR2
1163.0,Torque deviation ,BR2
1164.0,Pitch maintenance switch ,BR2
1165.0,Pitch service switch ,BR2
1166.0,Normal operation ,BR2
1167.0,Voltage limiting mode active ,BR2
1168.0,Yaw emergency stop ,BR2
1169.0,"Gearbox oil pressure startup
delay",BR2
1170.0,"Increasing speed with falling
blade angle",BR2
1171.0,Service key brake release ,BR2
1172.0,"Shut down for stall ice detec
tion",BR2
1173.0,Low-noise operation ,BR2
1174.0,"Over temperature transform
er warning",BR2
1175.0,"Over temperature transform
er trip",BR2
1176.0,Drive train vibration ,BR2
1177.0,Tower vibration ,BR2
1179.0,"Successful Emergency Brake
System Test Needed",BR2
1180.0,"Nacelle wind direction track
ing error",BR2
1181.0,Spinning position ,BR2
1182.0,Start-up ,BR2
1183.0,Load operation ,BR2
1184.0,Shut down ,BR2
1185.0,Manual pitch operation ,BR2
1186.0,Manual speed operation ,BR2
1187.0,Manual torque operation ,BR2
1188.0,"Manual line disconnected
operation",BR2
1189.0,Manual yaw operation ,BR2
1191.0,"Manual generator fan opera
tion",BR2
1193.0,Aviation light alarm ,BR2
1194.0,Sump by-pass filter clogged ,BR2
1195.0,"Gearbox by-pass filter low
pressure warning",BR2
1201.0,"IO Card 28V power sup
ply/communication failed",BR2
1203.0,"Temperature measurement
system fault",BR2
1205.0,Cabinet over temperature ,BR2
1207.0,Ground fault ,BR2
1208.0,CU communication fault ,BR2
1211.0,"Generator brush wear shut
down",BR2
1212.0,Battery voltage not OK axis 1 ,BR2
1213.0,Battery voltage not OK axis 2 ,BR2
1214.0,Battery voltage not OK axis 3 ,BR2
1215.0,"Wind direction dependent
shut-down",BR2
1216.0,"Obstruction light switch over
to auxiliary lamps",BR2
1218.0,Frequent cut-ins observed ,BR2
1219.0,Ice sensor fault ,BR2
1221.0,External power limitation ,BR2
1222.0,Yaw runaway ,BR2
1223.0,"Blade angle not plausible axis
1",BR2
1224.0,"Circuit breaker feedback
error",BR2
1232.0,"DTA/MCC Fuse or Motor
protection Alarm",BR2
1235.0,Main circuit breaker tripped ,BR2
1237.0,"Generator stator over tem
perature winding 3",BR2
1238.0,MVSG CB Open ,BR2
1242.0,"Yaw hydr. pump time too
long",BR2
1243.0,"Yaw hydr. pump interval time
too short",BR2
1244.0,"DTA/MCC Fuse or Motor
protection Warning",BR2
1245.0,"Top Box Fuse or Motor pro
tection Warning",BR2
1247.0,"Cable supervision pitch mo
tor",BR2
1250.0,"Temperature sensor error
(shut down)",BR2
1251.0,"Temperature sensor error
(warning)",BR2
1252.0,Temperatures not plausible ,BR2
1254.0,Temp Gear oil divider to high ,BR2
1257.0,"Manual operation bearing
lubrication",BR2
1258.0,Gearbox in manual operation ,BR2
1261.0,Manual Hydraulic / Brake ,BR2
1263.0,Manual Gen. heating ,BR2
1267.0,Generator base vibration ,BR2
1269.0,Rebooting PLC ,BR2
1270.0,Fire alarm ,BR2
1271.0,"Gearbox particle counter
malfunction",BR2
1272.0,Shadow related shut down ,BR2
1273.0,"Manual / service time exces
sive",BR2
1274.0,Pitch thyristor 1 fault ,BR2
1275.0,Pitch thyristor 2 fault ,BR2
1276.0,Pitch thyristor 3 fault ,BR2
1277.0,Temperature power limit ,BR2
1278.0,Shut-down low voltage ,BR2
1279.0,Low voltage ride through ,BR2
1280.0,"Hydraulic brake test accu
mulator pressure error",BR2
1281.0,"Hydraulic brake test accu
mulator pressure warning",BR2
1282.0,Hydraulic brake test ,BR2
1286.0,CU crow bar triggered ,BR2
1287.0,CU related power limitation ,BR2
1288.0,"Break battery pitching con
tact incorrectly active",BR2
1289.0,Measurement system test ,BR2
1290.0,Idling in speed control ,BR2
1291.0,Cabinet undertemperature ,BR2
1294.0,warning adv.controls sensor ,BR2
1295.0,Warm up state ,BR2
1297.0,Turbine warm up error ,BR2
1299.0,Loss of time synchronization ,BR2
1301.0,"Malfunction generator lubri
cation",BR2
1302.0,Brake pads worn (warning) ,BR2
1304.0,"Combined Lubrication grease
storage tank empty",BR2
1306.0,"Manual operation yaw hy
draulic",BR2
1308.0,Idling command ,BR2
1310.0,Fault reset ,BR2
1311.0,Fire alarm warning ,BR2
1312.0,Fire alarm sensor error ,BR2
1313.0,"Cabinet overtemperature
warning",BR2
1314.0,"Power limitation freq. De
pendent",BR2
1315.0,Intrusion alarm ,BR2
1316.0,Intrusion detection reset ,BR2
1317.0,Slip ring under temperature ,BR2
1319.0,"Rotor lock Service Switch
engaged",BR2
1321.0,Yaw lubrication warning ,BR2
1322.0,"Blade bearing lubrication
warning",BR2
1323.0,"Tower base over tempera
ture",BR2
1324.0,Rotor lock active ,BR2
1326.0,limit switch 95deg defective ,BR2
1327.0,limit switch 95deg overrun ,BR2
1328.0,UPS fault ,BR2
